7879	956f	3b91	be21
98b1	a0d3	f904	7cf9
d8f7	af4a	f1dc	1c8b
f8d9	575b	d12f	61c4
85c4	8b90	cdb3	9cc2
0079	d1ed	60be	46c0
85c6	e03d	545c	46a7
8dca	991d	2339	faf6
ef5a	db34	5185	ce93
1294	2e7b	9489	e5bb
4b05	8278	cca1	caae
417b	4311	cba1	815c
d5ec	a575	4676	69a2
96c3	e909	4164	89ed
7340	638a	a12f	ea87
69df	9c48	3659	0a94
b5b1	d676	68e0	b7ba
aa6a	706b	9707	50b6
d6dd	4b5a	61a2	ad2f
1b08	5194	d6f8	c718
1968	a1e0	dd7e	f029
8516	234f	952c	ebc8
1b47	4b58	cdf7	d46e
6f1b	3759	c9be	4540
6d00	d883	374a	d4c6
c211	7455	2603	89b0
5026	244d	72af	9a5c
b464	4c85	c1b7	cf01
15bd	6a2e	4c31	e9f7
b2de	38db	ff5d	f500
d692	7855	03f5	2407
a727	de1b	2ed1	6d0a
ca46	45ef	79b4	e165
f704	2ba1	5d93	2d0c
a5b8	8b3f	8729	973b
bf9d	dcf4	d114	70d3
3094	6984	c228	7754
ad3c	5556	abd7	b9e3
17a6	96d0	0740	b136
0148	235c	6416	f7a9
3002	7a9b	da95	eac6
e294	a28d	3588	767e
6a5d	b5b3	9e6b	2600
57db	ca8b	3bc5	d515
3668	2cb7	e93f	56e9
016c	1557	a19d	7e82
cdc5	0202	1af1	951c
d299	6044	70da	5723
60ff	4126	b4bd	f317
fe5c	f1ac	4b5e	f3b0
59f4	ff4a	3835	baf4
afd5	d9e1	2d8c	937a
a721	9091	2ffd	2c63
c739	15ff	da8f	24ff
79a8	9795	13f0	d374
b232	9738	f38d	a51d
393e	93e3	4b43	220e
0983	466c	57cd	717d
5157	5cf8	5db7	3ddd
e755	6673	adfb	c5c0
1d10	43a0	0d6d	6b4d
9721	5ad3	bfd7	cc30
ec95	3056	d560	6e06
c7e5	2a4c	1cc6	cfc8
baee	a06d	204a	0809
9a1b	2863	9084	9458
cf37	54a1	ec08	f56b
a95b	4086	0b8c	e6ea
1578	b99a	0d40	e2e4
2d71	3b7f	89c7	1b2c
75b4	5e5e	dbe2	c4be
6daa	0136	fe8c	941c
0d1e	7fbf	2d86	3663
080e	0e9d	215f	c228
435c	6bef	813c	26fa
0b8a	14a5	f3ca	f5ed
03d6	9ba7	be48	d1f0
233c	4b35	9aec	77cf
3c53	3dda	641c	f472
daee	3e1f	3b54	60e0
7e6f	15d1	882d	ab1d
6ac5	ab23	2028	2d38
1752	5ccd	121c	bcd5
4d7e	5f64	94c7	ab75
fb80	0689	94bb	65e7
a6be	20cb	fe87	25a7
63b9	2b28	4a48	60eb
dad1	309f	e6af	ba6e
6576	10bc	34ff	3541
59c4	a0ef	8ce2	2206
ffb2	d16f	e852	108e
4be5	fb95	9588	e8d1
c9a6	dc8b	50cf	ed57
44de	aa4c	a86c	8d24
9526	84a9	99d4	82b0
ed78	8f20	47f2	ce8d
fb10	8301	2da9	33e6
1198	11e0	3043	7d7b
2ac6	bc69	620d	2cc1
764f	2d44	8e11	824f
3f0c	c7a7	d8fc	675a
4c21	b425	6168	cf10
bd2f	aaec	c022	14f6
3657	c541	0798	d572
1dca	964c	6f65	2f55
40e5	5c2d	26f0	04f3
e4fd	e429	b3a3	b00a
aead	de40	721e	67ef
a713	7432	f2b2	4810
fdf6	4686	d602	3c24
c317	d1d8	9f68	27f1
5600	00b9	a211	c32f
e020	b237	25bf	3540
588f	b623	417f	10d3
6ec7	aa2a	48e1	a63f
5d51	3ca7	1e05	4c8b
3ec8	6db1	ec47	a12b
de1b	8f4e	790f	a68a
3855	0882	8936	483b
9a93	9f06	de20	3862
ecd3	c24e	79f7	5863
f6e6	9e6f	65a8	1989
a6a1	137c	aa4e	dddb
5ee3	5090	040b	d30e
c95c	be0b	89f9	b58a
8b7e	1c46	005a	0c2b
6ebe	3ab6	120f	a08b
c108	cc3a	adaf	10a9
4ce9	2ae0	f546	0e94
a2e6	d08a	989e	eede
1a6c	96fc	300a	7eb8
a4e8	db02	caf5	9cbd
e4b6	6430	a236	22cb
eb20	a2bc	0b38	2289
e273	3438	e5c1	5071
60e0	0f49	0ee3	2a4b
73ba	393e	108b	a406
8a01	6686	9b58	8a03
a141	3499	c59e	41d9
59ed	b06b	9c2a	5e90
2c5e	6a99	f36e	9b11
995d	78ee	5df6	92b1
09f5	ddae	c041	58c9
2a08	e513	dbd1	4ea3
a319	e00e	2871	d4cd
6981	991a	f94b	933e
c3ea	03f3	7acc	38b9
f729	2c42	2fd0	fabf
8911	65e0	d331	5653
2711	6729	f549	3880
cff4	cc9c	6acf	4786
d5a3	39dc	4d66	cc05
d50e	22a3	b5f9	9414
fc90	5ad0	ce11	32dd
b01f	bf0e	7a16	4d77
dd41	c5a1	b916	6077
911a	392f	ac3f	db7e
76aa	2409	42de	acdf
4003	5f23	4c86	fea8
dfa5	4edc	8754	f732
1e56	5988	1708	45c6
cb63	6807	49e1	54ad
83bb	5344	cd60	7de4
c049	ae3f	a399	c6bc
1bc9	0ece	ff27	9c28
13a6	664d	6253	c232
cb62	c7cc	b523	604d
578f	4fd8	89a5	b30d
d7be	caa7	5f63	f93a
9d8e	4d01	1a9b	f0c2
4a5d	be30	6d32	15e3
7bb0	2bb9	ba72	20d1
61df	75a4	adc5	c99a
c58e	fdae	1a04	2f82
2962	8102	aeff	beea
395c	4cd9	5d49	7363
6dde	60e1	8e65	81d8
04f6	fad5	6e9e	d458
47cb	04ed	4622	4c21
258f	6c70	34a3	94ad
74b6	d6a9	aec9	a990
0007	33de	12dd	d220
2c2b	7c5f	9951	1818
bf9b	add8	a7b3	2e75
8142	5192	d371	b153
ff28	2330	7792	258e
167c	5288	34f6	4191
8b1c	bc4d	7e2e	80d9
6d25	802d	fad2	34cb
0092	a87f	7256	81a4
be3b	cc94	9e9f	5beb
e4a1	9367	3990	458d
e546	5c15	dd1c	dd7f
b47b	391c	6a41	a017
120c	c16d	8d56	f63a
fa22	5ca7	fb85	af3f
0698	16e1	6dff	0a49
a2ff	793d	e9e6	2611
483e	585b	c3e6	59e8
7185	453f	ebf5	a40e
b325	f49a	a2b8	0016
a7d2	9970	06ab	b35f
a5b3	3c1a	9a75	e439
9fe5	08cd	d2ba	da10
c5d6	3a5d	d278	92ad
e098	22c6	c15d	c906
ff7c	abbd	fc66	b580
b63a	d343	b196	4d30
c755	a29a	dfeb	481b
ee68	1961	50fb	5531
0008	9208	4037	de50
e229	865e	628d	e7ee
f082	c526	8d65	9c1a
a82a	c134	1592	63ae
4ba1	d3dc	45e8	3a1e
bf57	7c0e	d3bd	9202
4af3	028c	2c6c	27bb
f30b	b515	ca7d	0358
5d59	627b	e7f3	08fd
9035	bb67	3b1a	bbfb
39a8	c59d	d5c1	1191
e290	40a7	ac8e	cce9
2e76	132b	d4a3	8ee7
b91e	ad5a	05c4	f75f
2e48	a0b4	3c01	6751
4c15	29b6	65cf	7143
17a9	6894	4a10	4745
58dd	1345	73b5	dec1
0288	35cf	4b21	b973
4ec5	27be	e834	3a14
7966	e824	9da2	a709
6be0	3dc3	46c7	1b20
a937	95ff	cfb6	5771
fcda	46f5	be40	496b
b0d5	3181	6058	2dc9
0cde	13fb	7147	79d9
a76b	e7dc	21e7	b47e
e07b	6384	c2bb	aac5
d90f	2c2d	1a07	0b39
f00b	8eda	f785	8058
243f	6f7f	4aac	4573
56e5	0f00	ab94	e88a
e8c8	1112	b06d	e573
edb9	f578	cc78	c188
66d7	f3fe	86df	17cb
bb85	a5ff	d010	b0c8
16bc	5733	f018	f41f
8891	d00a	e475	4c74
4872	4513	9d60	13f9
8786	a6c5	787e	648c
0b9a	da27	c118	642f
e743	9b55	2f08	c504
afa7	608c	800b	ecce
dd96	73dc	b413	5f45
88f4	faa8	5b72	e2e4
b53b	a411	ff09	f04a
5107	9ce4	6703	a228
aec2	d995	14f4	13f8
4125	7ee0	cede	12c6
2be1	d97f	df1e	42a1
e13f	ce3f	3c23	c92e
8d0c	940b	bc28	aaf7
e0d6	0ebb	7589	c2d4
ea25	cddf	8b9e	5da3
a552	997a	0029	7a61
7226	3385	8483	0baf
5a1b	e800	7404	897d
0ced	c6f2	e8df	8c03
3775	6d46	3728	ccd0
a867	0daa	f374	34ce
4965	af86	7a52	7d31
7af7	e469	bbd6	9ddc
b3cb	68e3	538f	6405
4e7b	95cf	a3b6	e07c
dd72	bcb4	4ff9	3c6b
6f93	d938	6f66	e6d5
1c33	d6b7	d80d	8407
3a1f	040c	57c5	8dd1
5b81	cc09	2d14	d285
3b5e	57d8	3545	3c20
cd9a	9301	62d5	1fb7
7824	4db2	a541	b8d3
4ce3	58b5	4dc0	958d
cace	224c	b1fc	f884
81b7	663c	c4b3	fce6
81a0	087a	0faa	514d
f88f	4a43	597e	5571
520a	22f4	1994	5bea
7478	2daf	7dc7	eb7c
fbfe	99b3	a3a1	ede6
b69c	7fda	da26	0f67
652f	a050	e534	8968
89e0	66b8	b1a5	754c
d646	ab91	38e8	437f
b78b	c004	42fe	50bf
1d20	795d	64e5	e16b
dc04	2322	6712	3559
6f15	e9eb	9f90	75d1
2feb	b93c	8a93	bdc7
7a27	517e	271a	eb72
db10	53dd	e256	5d3a
7376	1c43	0660	b0e2
8eb2	5204	ae73	efa4
83a4	0c51	7309	9531
99ed	a0f3	e233	cf46
1fd2	613e	a739	ea44
2544	33ba	c30d	641d
f122	b77c	61c4	f055
e8f6	739b	e0ad	49b5
a5d4	83ac	6076	7672
1568	7f59	f8e8	f436
4ded	f378	febe	7d22
1305	3170	e03c	a17e
de41	faf3	808f	7378
4635	7b62	0381	d3c5
0a41	cab8	7556	22cc
bbd0	2842	93ba	114a
bff5	8ab1	827a	0b0d
f910	4778	67b1	baf5
398f	0720	89dc	ba22
97ad	5a55	36da	3c08
08e2	e86b	0fd1	cb0a
a59c	5377	b681	fe4d
0968	d8de	35d1	be93
b685	776d	bcf3	6e0f
e851	bd8c	1d0e	bf05
b2da	9f97	f623	04b9
cb4a	cce0	68eb	4fc9
1353	42b0	2c95	8eb5
a473	6835	bad9	600a
3240	7c3a	22d9	2c0c
bbca	2d6e	7c3f	efbd
be5e	440e	ab01	892a
4766	982b	c831	ba7b
2595	e58e	104d	be81
f04b	3b57	8c38	3eb9
7891	10c1	44d7	fbba
8bca	d947	30dc	a261
baac	0bca	c55a	e301
6fa1	9d23	c6f4	a9a6
0619	b875	4726	9b2d
9d18	5577	fdbb	86de
9020	18eb	a5db	7399
dd95	71eb	df0f	98fd
c853	b8f8	cb2b	f1a5
4303	7819	da16	426f
bf81	2910	a468	83b9
d2dd	9eab	5bfb	2963
383b	95a6	2cb6	a6d2
9a3d	ae73	9c7b	9cf2
34f4	b6b4	226c	bcf8
13d7	937f	1385	6809
2819	b831	b125	79c4
7c7a	cf15	37ad	3131
d75d	16d6	575a	c16f
a853	8050	6e9e	df9c
c240	f463	6035	0295
fc5d	e5dc	21b8	c92d
0c42	bc74	2fe5	95a5
f2e1	c55c	95af	2029
89be	7351	69be	785a
048c	d66d	3668	e638
fcd3	3279	2f7f	aa51
992c	5da7	43eb	4062
a0a1	32e3	b16f	dd56
1ffb	5823	a810	efe9
b0ed	f498	f340	8966
8902	35fb	ab06	f257
7980	c305	7504	5966
439c	6189	bba5	3d94
a1de	30a4	b1cc	5818
a577	7891	8a17	a757
7c55	e7e4	e090	f0f4
78af	06bd	9e34	bf99
d27f	f2e3	c431	230e
53be	8a64	77fe	d0f3
9dd1	f4fd	7901	6210
7830	9025	cfa3	925d
9721	18b9	f4ef	10cf
fc13	3bc0	1d95	d2de
3a58	09f3	beb8	96b2
28b0	7de3	992f	7542
ee0e	3895	6fb2	cd06
f4bb	88b6	0a62	d229
9377	cace	964b	384f
0ad9	202e	c509	7e1a
18d2	fb7d	7344	8377
3a74	6c4b	2f36	7cb6
db30	c460	a332	7517
2673	8e2c	bcba	3633
361a	5794	9895	5dfc
20a1	0d8b	044d	999e
35c3	8e68	11fa	3120
70e8	dd92	4196	7bb2
e410	868c	8dc6	0464
071c	525c	78ca	5cd3
a5a1	4605	5d5d	7e53
419e	5808	be24	715b
75c7	55bb	15fd	e63b
e89b	8d02	f6fb	e575
0436	3ded	30f9	f8ca
99c6	0f02	f718	db9c
394f	062e	aa41	8e72
a104	61b7	4191	0664
20f2	508d	1532	a9d6
c42f	53c4	c2ef	8306
e46f	3f97	b0bd	f20c
c174	ca6a	cdac	d162
f5d3	677e	d86b	12c9
7542	e0c2	f78e	7b2e
89cf	854e	a7df	bdb3
8a90	6bf7	aec6	9f65
c6b1	5221	4bc9	1344
c927	2b87	aab8	aaac
5e5a	be34	80c6	1d30
0ad6	a491	0557	6277
07d4	2d7f	3c92	31ae
b644	eb60	e218	2638
ef27	275a	11c0	f35c
1fcf	e3c5	d7b9	03ef
7caf	02a6	8d14	a6a8
b62d	36f8	a83d	ceca
786e	2f7c	a451	d6ee
3ca8	e8de	74cb	5bcd
3e8d	6b3a	ec46	28d8
c40d	1a5c	c9f9	b7aa
c4bf	4fdc	cde2	8808
e979	0422	8863	83c7
756f	fad7	fbfb	1867
2e88	871a	15d4	bdf8
fb6a	9f86	1ab9	2abf
c860	36ed	e407	5882
db80	139e	207a	5aa9
1eda	5efe	2ecc	c3e4
f9d5	e707	4fda	3c0e
0155	9d62	03fa	d916
3f0b	c2b4	03e0	33cd
272d	0849	15c7	bbc0
ddcd	1e2a	efeb	5d2b
b0f9	8e33	6e3e	f947
342f	bd94	5d02	9218
3da5	77da	ee37	2a2f
dfe7	5388	e035	2ade
38d5	9516	fd67	b46f
3075	5d38	c84d	0b6a
fe35	8117	b8e8	4c27
31d9	7f47	a977	2b08
753b	543e	8b73	ea57
b9f4	310e	f052	6ade
8a61	831e	bb5e	9fc0
2d8b	a9ea	e579	cab7
d8e7	b3e4	2171	1bb4
24ec	2c4c	2b42	f74d
a3a7	2201	365d	3c9c
db20	bb8e	8372	e5df
685f	861b	9245	d6a6
87cf	f070	76fd	c50d
8efd	61c4	9f95	f94a
a2a1	2968	5e86	fddc
7235	0613	695b	de41
2881	e54e	0531	47f7
3b42	abc1	3bb1	50d5
741d	daef	04b2	060d
dfd0	e8a0	dc99	1119
d634	11fb	1859	b2b2
39bf	87b1	3ca5	f72b
9568	ee63	077b	dcd0
573f	b98c	6d13	6ba2
2d5f	d7b6	01e6	898c
fad7	ad05	8d46	7cc3
337a	0b7a	161b	6439
8437	ca39	6c50	0d62
cbf8	f695	3cbc	7173
c4ac	3836	5862	d3f5
1f13	3d2a	59e2	4bc5
ef47	aef7	c4da	4710
b50d	0e33	f929	eedb
729f	1bb0	13f9	31c8
c9bd	3295	9c29	14b2
0a10	ee8e	93dc	0a55
30dc	f5d4	3859	505e
acc3	62e8	44d9	ace9
497a	e6b7	ca60	87e0
8e8c	a822	dc30	7310
adbc	5bf1	1646	a9ed
9e10	0185	8ff0	be88
ea9b	d8a9	830d	3fa0
7936	57b2	94ba	ad23
8f64	edbb	4145	4c5d
07df	c2ed	e27a	7859
7bc4	4af1	9ead	a725
1c10	ade8	5bf8	ef89
e8df	8a98	0eab	0a79
d818	179c	08f6	aadd
eea9	5b86	ad10	e266
701f	5766	bb02	05d1
9f54	3eae	a7c9	30aa
d83d	0f82	978e	adfb
aa06	5eff	cc76	9385
7564	bdfa	ff05	012b
9cc3	268c	6e4b	f18c
ba0e	5229	27c8	0552
f657	8627	03a7	73f3
d67d	1b70	3ecd	5290
b5ef	4661	c4b0	2a6d
a43e	c153	1289	fed5
4427	fb59	980b	56bb
a608	1a39	d257	f427
0abc	0add	15b7	8e4f
04e3	4cd3	d065	be70
6531	16d1	91de	b597
afb4	9258	e1f2	c68b
0e13	e9c2	bec4	ae54
293b	1b54	2482	fd83
eb46	afa9	39af	d673
f609	ae34	f972	d555
4e44	ae98	f077	3555
4bad	3316	6f25	89ad
b8a5	bdf4	bc77	d786
ad19	0a3c	d92a	28b3
dddd	1ed1	3ef1	c855
6c22	4354	fdd6	347d
ca3b	7bad	a474	4c90
6540	2f8c	e8fd	c563
fda9	411f	39d1	c08a
4643	9ea7	1b20	b4c9
7874	be40	8141	9aeb
6ebb	37f2	f47f	7dc1
1c55	8ed3	70c7	0a9b
c105	6018	17b3	8410
fb13	451c	69ca	ccf7
8067	addf	665f	87b4
2ff2	16d5	7c19	3093
df71	16c9	f6b4	5b2f
770c	54be	f36f	1cb9
c8ca	d079	93fd	3346
5b19	14a2	9c30	37a8
81d9	58ac	de88	c3e2
fade	becb	75e0	433b
063d	afdb	6a7a	78aa
6592	dd18	9490	5832
4d36	cb14	e5ba	1ec9
2b3f	088d	078a	9680
294c	d955	f236	0758
f65a	cc2e	a93e	8b4b
5290	3e2b	7c4c	5e16
71c1	aa82	fb33	a949
0205	4d86	96ad	981e
6fa8	8eac	1be6	b2ff
7f3e	773e	33e8	2e0d
c801	e041	2398	6813
ecfa	9caf	61e0	85a9
02fb	7f10	9fde	276a
f725	951d	428e	1182
75de	fc51	ca09	2279
16d2	6878	0484	230f
fd6b	019e	805e	89a2
a23f	7795	7f60	0c2f
6677	6ecb	adbd	8519
4b2a	3e71	3e3e	2c35
1680	1c4e	c271	1f10
1a99	d290	7e2f	b20f
13ca	fdcf	ef3f	e9a8
2d79	e8db	8c53	7845
5ad2	12c9	6c32	b0e1
e424	cd3e	de13	3663
9cb8	138c	7bae	47c4
665f	9ef1	2879	1496
7d67	7c22	fd11	60ce
646f	e913	c02c	d26f
edea	b5c0	3fe9	b381
040e	ddb5	32af	f4bb
1ec7	3f9a	dbc2	c780
64a2	c0c6	790f	46c4
4507	ffe2	50e8	b17e
0b2c	8e82	c184	f9b7
9831	99f8	cafa	0a97
4dc8	bbcd	197c	b4a1
7cb1	aa97	94a4	c7ff
ec53	ce96	ec8d	724f
08fe	3b09	83de	d3ce
4955	6c6d	fe70	f641
3379	08d9	e324	56b3
e753	6576	18c7	f0fd
8cef	0518	6d3c	f023
9f02	7658	c3fc	5e69
7b5c	1dfa	5bf0	d12d
35d1	b422	20d9	7179
fa87	a883	fed0	de20
145c	627d	d22b	849a
59e1	1f07	5133	94f8
5c98	976c	7857	e452
9082	5fe4	d9b6	1987
3f4f	6401	23fe	590d
2134	47e4	a71b	6ba7
ac0e	4b26	5da4	be35
7e65	ff1a	e91d	b6a0
d53c	561d	3056	70df
3880	ec87	319a	dfd4
c975	0a87	d486	a853
d8e1	0683	25d7	adcb
c34d	160a	51c2	147b
702a	5ad6	c2af	66f0
6272	2178	11f5	ffbe
a6fe	d3b3	e1f0	1f25
92a6	9a55	cf98	6de5
810d	d200	d369	29bb
5013	bebc	f8ac	7f45
ed32	761a	39a1	a162
06d7	e05c	d5b9	79da
ea56	1f01	e3da	e685
6c94	69ab	06b9	399f
ac67	95d2	d9b8	fa9b
1b85	ede3	8aa5	9c59
edf6	ef0f	8ed0	1833
bba3	f976	f3b5	2391
7e9b	aef1	4093	e486
b66c	e9f6	67e8	ca5e
63da	4b39	e90f	17d7
6a78	1adb	bd8b	f752
b2ea	dd72	41aa	afad
9a91	05cb	d056	c1c3
6696	c5c0	c7bf	a248
2186	cd9a	43fa	05b1
773d	5cb1	3d1c	8b85
43f6	01dc	b213	9cb6
6b2d	7bd3	72ac	70ba
3713	3782	5a02	a3c4
f4f8	0802	013b	7aff
989c	41ea	fdb2	4c9e
9b15	5dd7	bb25	0c13
0018	3535	6da5	e7db
c665	6fa6	8622	338c
e38d	1ea3	dfa5	aa72
c8e4	8ce6	2143	5352
6b8c	dc00	4dda	cef1
a2d3	7290	983f	de3e
39bc	85b5	c1f4	1507
a59f	91f7	9057	dc78
4f07	37a1	2fd8	e0d0
3240	fcb3	57b2	3bf5
fd53	fea3	5a9e	fd1c
5079	c0c8	7233	2340
58b3	5c3d	dbf1	d1e1
c952	8662	b935	c062
adc7	a3f0	ef9c	09dd
366f	a0da	f816	63ed
59c2	3737	f745	4d2d
6d76	d66e	03d0	fd60
a197	3a60	c11f	1016
2e35	a605	9000	6565
042d	b2d6	6f51	cf96
d12b	1ac9	a6d1	3982
070e	5045	c13a	6a8b
4e6f	fee3	27f8	c920
290b	728c	659d	9134
69f4	6b3b	eb87	45c3
cf86	2bfd	999f	f06e
bb28	6918	0fb6	fc6b
556b	4e51	93cb	cb77
a59c	a50e	32c9	fdfc
1301	9617	0390	b0e9
b050	cff4	7d42	29dc
7aaa	11c1	bfd6	10f9
3134	597c	698f	38cf
f39b	5228	acc6	031f
ced1	8070	87e1	e1df
3871	44a5	b87c	b7f6
782e	1140	f5e9	d34c
1bfc	214b	7f61	ea82
c2a5	c3ff	afe9	1531
8dd4	9337	cb97	2db5
e627	bc12	ef90	5a93
220f	5eb8	289f	b1f1
5193	7f46	3350	452d
534d	b2cc	c202	284a
885d	9ab0	9191	6d1e
1489	041f	637a	8d9f
767c	ae1d	cb28	a0a4
68ad	d925	518f	9400
f161	633d	2ed4	d135
af59	3068	4382	3993
e91b	4de7	a670	94c7
78ec	5b76	f6b9	a13b
eafd	708e	c89a	fc16
5edd	d492	4095	23fa
c6d5	238d	3e5e	f326
bf04	a764	59b7	0065
149b	e209	77c5	700d
4c78	eeeb	5fbf	27da
7a8d	ff59	b63e	c252
c959	cd5f	5653	4528
7f3f	4a45	0f1c	fd02
513f	02a0	6da0	2663
2c51	86de	bad8	308e
9512	709f	133c	6c07
5006	ddd2	7f57	f4ab
473f	853c	5ea8	6ffc
1a96	5eb7	181c	b317
2833	ad81	c82b	c75e
8b29	89db	cd1b	1ac7
a00b	2aaa	faa0	48d1
3f66	0a1c	22ce	3bba
4e10	4e9b	7b99	3df9
893e	1bd6	0d38	4577
6a33	58ac	5d89	2dc6
4b9f	c329	bd2f	9280
21ef	fd98	0052	a146
c3fe	5578	ea06	4f17
c3dc	4deb	2e93	22d1
6a8a	7177	ae26	861e
cbdf	fc6b	bb12	779b
23e7	bd5f	3e45	5712
7c35	412f	6da2	c902
6c37	5de5	c5a6	c224
4885	62e1	ffff	3ebd
4eaa	4bd7	e88e	ecf1
7ae1	cd51	65a4	da8f
11b7	e114	2930	13e1
e3f8	8a3f	668f	4537
a4fc	15c5	9a1a	a3bc
8b84	b86c	c38c	100b
a4d9	e4b1	fbc8	ab41
c181	9b7d	23a5	ea08
b74e	b975	aa52	9b37
36ee	1a93	9bab	9d33
db62	184f	0920	bb2e
bc05	e0e7	3c05	89e8
602e	7860	1523	ad35
e591	c5ea	4725	b429
3502	42ab	9ea0	4e1d
4875	a7d4	9f6c	154f
830a	99c8	7c14	9f7e
daca	e7df	2bd8	4a27
2d3c	3b6b	d6d4	a135
7d39	e034	e7a3	cfce
213b	0a02	da1d	1fce
222a	6efb	55fc	8fbb
a278	afb3	c1e5	4700
971e	e2cf	6cdf	6c00
8e03	859b	edf3	467d
209b	8072	e575	0081
938c	194a	36ec	2746
7b21	bd97	79ba	b12c
2407	0478	479e	611d
71b4	480f	0874	afc4
0942	6f72	5af3	e9f4
d966	c28d	8063	4f19
f239	7f5a	4d3a	335f
26d1	3b0a	125d	fb0e
1659	96d6	f725	03e7
473d	9777	4dee	c6db
7b09	59c8	6755	13eb
52ea	2e51	b106	40dd
a98a	aeaf	7e66	9766
e5f1	203e	99a6	aa21
13c6	b372	8baf	7f73
1168	279e	281d	54f1
da79	36b1	7ada	98c6
03ff	6bdb	c5ee	2642
886f	85e0	5b5e	8c97
8e3b	12a1	8ff1	eb6c
3563	dd5e	fb4e	3d05
111a	025d	fb03	8e54
d8d0	b1e3	abb7	9f45
7adc	2d3e	54f2	8137
202a	f87b	5ac3	0af5
0544	27f9	a9a9	fdd2
6f70	a750	b862	6d2c
3f9f	2478	8590	20c3
5ed4	55fb	be49	cbbc
9516	a516	cd11	f38e
6c05	0fdc	30e0	825e
ad4b	8542	01ba	cb57
428f	5e25	f3a1	9852
51cc	26dd	5d9c	ceaa
9e7b	4eec	e484	0d86
a424	f703	d297	3c70
9077	1e30	f369	0b12
13c8	477d	c6e3	7695
7719	100c	6526	87f7
9f2f	3cc6	068f	aafa
16e7	6908	4ada	68a0
dc17	9be6	008d	2d38
1f76	8e95	63e2	8620
0ba6	49e0	f070	eee7
1de3	151e	bfcf	af64
6504	8dc3	7da1	65b7
e1db	9472	ddeb	55d8
b951	39ed	c8be	7541
76c8	9207	6c2e	4d8a
ffaa	735f	af08	2817
2b53	e7c3	e0ad	ac19
2954	3e9c	9d0e	1d9c
5098	e9f2	f76c	bf67
a061	3876	7129	beab
e975	202a	2b63	e328
97ac	2923	f012	2b3a
41e1	2860	6358	4fdf
cbac	3631	e338	1235
1a01	d4b2	8bee	b41c
ce93	40e3	f98d	62be
0de6	5df7	b793	3243
c75e	bd7b	1c59	95c1
4f39	c9f4	cab0	6916
6565	4969	d138	f94e
72f9	ecd7	d609	d474
8c96	824b	2eed	263e
02a1	0bcd	f3ef	8183
eaa4	3217	2d98	0634
f715	e934	e204	97e7
212b	4310	5953	19ee
a23f	307f	7d5a	ecf5
cf9f	a229	7a30	a099
4e61	61f0	acbc	0144
5793	2b87	e044	7db2
8bbb	bb65	43ce	b70e
f772	d93e	8e60	9f5a
39f8	ed17	ae4a	0e5c
2fd0	a95e	2053	63b6
0942	5eeb	a8f9	bc00
7e52	47de	c67c	cce7
00a7	d9e0	d811	5007
961d	7b19	6d58	2ed8
69a2	af82	a709	565d
470e	59b7	9e6f	2ce0
35b0	495f	82db	9204
5b5f	86ac	974c	4bd2
25d3	2e1c	3b7a	b94f
5637	ca24	8a78	4635
332c	e933	61c3	ed68
920c	f0bd	79c9	7868
4d1d	b02a	cc51	6299
675c	73a4	538c	edf6
f181	ae1b	aadb	cbb3
08a3	c7c3	781b	e1cf
5752	18b8	2825	2b41
f883	066b	2729	31fe
bc0d	4b1f	f2a9	7887
ffde	4282	7f82	c199
5c27	22f2	c5b3	c107
afc6	2831	7e64	450c
62a4	0e44	3dcd	365a
9e84	28d3	a6fc	6922
f029	1018	a0f6	f526
4e69	41b2	f8f3	7fa6
8bf5	1ed0	f16b	31b5
dbab	74d2	e12f	ebf8
01c7	29da	1971	5724
45b8	11fd	8314	0c4d
80a7	2272	1b36	be41
8efc	fb5e	0e77	bcef
bf83	590c	5ab2	0e98
6b76	d794	1508	6344
48a2	2b29	dd92	2377
c52b	8614	c0b7	1e3a
c933	f814	5791	ff3f
1348	593f	d49f	8efb
6c4b	6ce7	889a	abb8
7bc7	9a08	d56d	1cb4
f6a6	c250	2c40	67ae
0476	e5cc	8d2f	1bec
5043	f080	dbf7	640a
a48c	e07c	0080	061f
b31e	540d	a8d1	18ca
cec8	ef9f	c1d5	0ac4
44ad	b74e	ca6e	d1cc
e3b2	e505	053c	5300
0aee	4953	f438	49fa
250e	76f6	c717	e854
1983	bfc0	6582	77ad
bba9	e325	0034	7379
e603	e0df	1023	1d5c
50ce	c218	fa53	8af7
46b2	38bb	d95b	f580
5ffe	3949	7e74	4dab
a2fa	149c	0cbd	2bba
d0ab	d695	7b0a	147f
8120	c87b	9626	879d
7078	fb4e	96d8	dfd3
58c0	515e	2c41	fa4d
d6c8	d443	96e5	ad24
e893	f547	3662	ae7e
5ae4	d6fe	93c0	ae7d
3a24	4299	62b0	e58d
805e	9b85	cc19	8d86
5a27	2a91	0d36	39d9
0698	dbb5	770c	fee3
9e98	114a	4618	d32d
a734	fa9f	c430	caa7
f597	cb45	3f13	bd2e
10c0	046d	c73f	d067
21a6	5f50	8632	95f4
14f3	c233	468c	5244
c751	199e	4daf	c803
5ca9	7283	c359	b32c
c6ef	ae7f	50d2	6409
2ed4	34b9	cbad	cbcb
c3db	92cd	71aa	5487
5a27	2c33	09e9	d85a
4f72	7640	ceb5	52da
b19d	fb97	6d80	42f2
2af8	e020	1600	490e
9fa3	d7e1	6661	8d93
740e	b758	12d3	090c
